comment,sentiment
米色实物就是浅肤色罩杯够大大胸美女放心拍163公分110斤80E穿L罩杯略小勉强凑合穿XL罩杯合适下围略松网上客服说文胸可在门店换尺码但长沙喜盈门范城的服务员说门店自提的文胸不能在门店换尺码欺负我第一次自提文胸吗,0
店员福兴服务非常好推荐我加入了会员带我了解了线上下单自提的方便,1
双十一的券不能用还在店里贴各种宣传画和店员沟通手机网店下单后店里自提也回答不可以询问怎么可以用只是说网上用反正店里不能用现场网上买然后选店里提货也回答不行反正全程只回答不能用是网上的再没有其他的回答问得多了就是机械的处理收钱和给票不回答优惠的问题宣传画上写着可以网上下单再自提那么没有这些店里还弄那么多宣传干什么,0
在店里试的上身效果很棒侧面看肩膀也很薄 吊牌价是99网店89果断选择门面自提了???  自提后发现其实实体店里只卖79,0
门店自提倒是挺节约时间能马上试穿看到效果可惜这个颜色看着挺温柔但不适合我穿也不是特别百搭即刻选择门店退换了但自提淘宝上就马上自动确认收货了办退货退款网上又费了不少时间希望改进门店美女的服务态度倒是挺好的,0
收银速度非常快员工非常热情更衣室很干净还推荐了门店自提,1
优衣库门店自提服务特别方便比等快递的心情还要好特别特别满意,1
上身效果：贴身款 厚薄度：比较薄很透气 尺码推荐：弹性很大可以根据胸围体重参考尺码也要看个人喜欢了 材质特性：有点像莫代尔那种感受很凉快很舒服 面料品质：手感摸起来很舒服可以到优衣库自提这一点也是巨便利好像我洗衣服没挂好但可以大概看一下材质我是根据胸围买的尺码推荐和我去店里自己试是一样的因为自带内衣就可以代替内衣穿着了个人上半身偏胖所以会贴在身上只能内穿了面料不起球属于纯白色冷色调的那种白要注意不能和掉色衣物一起洗 ,1
杨志峰服务态度很好积极推荐我店头下单门店自提便宜了50块钱谢谢,1
这次门店自提实在是太慢了两天了都还没收到短信,0
极好很满意就是在店里等着自提的时间很久希望能够改进吧,0
潘知鹏热情推荐门店自提的销售活动,1
衣服板型不错上身效果好就是没有蓝色的那款好搭衣服门店试过当场网上下单选择门店自提要等半个小时希望以后能更快一些,0
门店自提真好,1
有一个可爱的郭佳慧小姐姐帮我在网上下单门店自提省了不少钱呢,1
非常方便家附近门店试穿合身下单立马能够自提基本衬衫都是优衣库简洁朴实做工用料都很靠谱,1
店铺自提太麻烦,0
买完399的衣服回家看到淘宝官方店同款只要349打电话问能不能退差价门店说不行我问能否我网上下单明天带这件衣服去门店退款同时自提回来你们门店居然说如果你要抠这50块那可以啊什么叫抠50块能不能解释清楚一下学生党的钱是印出来的吗,0
门店自提不错,1
吴恩宇告诉我可以門店自提服务态度很好下次還會來優衣庫服务太好了,1
收银员的微笑很棒前台接待很棒买单的速度很快还帮我用门店自提省了60块钱日,1
店铺的叫卖声很足员工都很热情尤其是员工上官晨艳积极给我推荐衣服还推荐了门店自提让我省了一百多块钱还会再来这家店的,1
杨少芬很好哦给我推荐网上下单门店自提,1
线上下单门店自提这种操作模式太人性化拍大了一码门点客服小姐姐很热情的帮我换了合适的尺码特别赞以后会线上多多关注优衣库重要一点是要比门店性价比高,1
凑500块单买的内裤还没穿过门店自提依旧服务亟待提高店员不太懂操作第二次门店自提了每次都不太顺利顾客的时间也不是全部给你们店自提的服务态度本来想打一颗星改成三颗心是因为打浦桥日月光店的店长态度很好东西倒是没问题,0
非常好 很仙 实体店恢原价了 而且去实体店提货的时候 收银员工作态度十分不友好 取个件花了快半个小时,0
这款米色买了好几个第一次买黑色的搭配黑色底裤刚好一套面料很舒服穿着没有束缚感关键是不跑杯很不错门店自提很方便满意,1
张玉贞小姐姐今天取门店自提非常的迅速服务态度非常好,1
段安乐推荐了门店自提省了好几十开心,1
衣服还可以我也是傻的到家了天猫129实体店99我居然天猫下单门店自提回到家看到别人发才知道门店99元也是醉了算了反正也不贵只是服气我自己还行吧还行吧还行吧还行吧还行吧还行吧还行吧还行吧还行吧还行吧还行吧还行吧还行吧,0
当时在店里看到是199然后看旗舰店正好有优惠149 就果断在网上下单然后店里自提了还买了另一件衬衫没想到当时149买的 没几天就变成99了真是价格波动不要太大看来出来混迟早要还的好像优衣库周二回有不定款优惠吧今年优衣库也蛮给力的卅都想来一件,0
在门店试穿网上下单门店取货149元非常方便实惠浅蓝色很清新适合夏天舒适透气会有凉凉的感觉应该有防紫外线的功能很满意,1
收银员王晶小姐姐态度很好门店自提优惠多下次还来光顾优衣库,1
实体试穿发现网络下单更优惠门店服务员很nice自提很方便非常好实体试穿发现网络下单更优惠门店服务员很nice自提很方便非常好实体试穿发现网络下单更优惠门店服务员很nice自提很方便非常好实体试穿发现网络下单更优惠门店服务员很nice自提很方便非常好,1
今天卖场小伙子郑园炜很不错门店199的全棉中裤 帮我门店自提129很cool,1
有个服务员今天推荐了我网上下单门店自提感觉很不错下次可以自己在家试试,1
店铺宽敞明亮试衣间服务很好告诉我裤长可以随时来修改一楼的陈思睿小姐姐很耐心亲切的帮我推荐搭配和尺码钱莉也很棒还推荐我线上下单使用优惠券门店自提非常开心,1
实体提货店里忘了给我衣服的带子事后才看到,0
质量一般略厚袖子有点宽大退了在实体店提的货态度很好退货也很方便,0
这家店的门店自提速度很快 网上有优惠活动都会和我们介绍 很贴心 服务态度也很好 会继续光顾,1
很显身材的裙子低估的自己的身材17049公斤s就很合适在自提店里换了小号的害羞就不上图了,1
店里提货很方便的,1
自提去店里换了白色很满意袖子有点长,0
优衣库男装区潘玉册服务很好热心推荐门店自提价格经济实惠,1
去店里自提的164105斤要的M号好看,1
优衣库的东西呢设计感一般但是质量在同价位是出类拔萃的这种羽绒马甲属于耐用单品不会有过时之说那么选择优衣库就很明智了只是初上市的价格实在不美丽双十一差点下手后来想想不是刚需忍住了没想到双十二来了惊喜直接6折了进入心里价格区间直接拿下拿到手果然没让我失望颜色选了个耐看色很正保暖性能也在预期之中就近仓库顺丰发货很快可是本市门店明明有货却提示没有库存不让自提,0
选择门店自提半小时就备好货了给优衣库的效率点赞衣服很好颜色也很棒很喜欢,1
东东不错就是选了门店自提结果店员竟然不知道如何操作等了好久才解决下次不再选自提了,0
趁活动入的网上下单门店自提很方便宝宝身高71体重17拍的90略大一点宽松,1
服务很好呢环境也很好特别是店员小姐姐教我怎么搞门店自提方便,1
优衣库的门店自提 真的好方便噢 一楼自提区的邱彤和怀盾服务非常好,1
优衣库的门店自提很方便商品价格合适,1
网上有活动但是没办法门店自提所以只能自己去花钱裁裤腿了,0
谢谢员工帮我找衣服还给我自提了一部分很棒,1
网上买东西门店自提店员唐奇的推荐很方便,1
优衣库的门店自提这种方式还挺好的挺方便的员工告知门店自提比较优惠帮我操作了一下便宜了一点,1
前几年去上海时家人带我去了仲盛优衣库后就一发不可收拾了自己和老公的衣裤都爱在优衣库购买了优衣库的衣物穿着舒服随意休闲前段时间去上海实体店进行网店更新程序不能网购实体店自提这次买了5样宝贝都不错喜欢裙子和其中一件麻衬衣女买大了一码原想换货的就是换货程序有点多麻烦本人转人工后直接电话咨询了解的客服态度不错,0
吴恩宇告诉我可以门店自提下次还会来优衣库吴恩宇帮我找到了我想要的裤子,1
店员服务态度很好推荐门店自提非常实惠很不错,1
辣鸡门店自提退款流程4月9日门店自提4月10日去门店完成退货4月16日一直没退款进度去门店协调了30分钟才进行退款真**服了物流和态度全打一星,0
入坑了活动买了好多件之前买了蓝色又入手白色的下单门店自提的感觉白色的料子偏硬有点扎人不知道怎么回事没有蓝色的舒服可是已经下水了要不然想退掉无所谓了,0
店里活动价59这里活动价39真赞果断入手选择门店自提不合适还可以换尺码赞赞赞,1
店里明明有不知道为什么不让选择自提,0
优衣库新推出的门店自提真的太棒了节省了很多时间,1
网上拍下实体店提货的但是一会儿网上就小码的抢光了我去实体店还有好多件呢而且也是和活动价一样的价格很软又轻适合开春或者秋季穿版型还可以,0
门店自提 当天就可以拿 试了一下太小了 换了大一号的,1
店铺宽敞明亮试衣间服务很好告诉我裤长可以随时来修改前台也没有排队二楼的陈思睿小姐姐很耐心亲切的帮我推荐搭配和尺码还推荐我线上下单使用优惠券门店自提非常开心,1
郑雪婷谢谢帮忙做门店自提,1
态度一如既往的好还会推荐网上下单店里提货省掉排队时间已经棒棒哒,1
收银员真的是很热情了要买的衣服网上便宜20块很意外居然主动帮我做门店自提省了钱也节约了时间非常棒,1
